iter	Passed	Remaining
0	58	58076
1	58	29210
2	58	19561
3	59	14772
4	59	11875
5	60	9940
6	60	8560
7	60	7526
8	61	6721
9	61	6077
10	61	5556
11	62	5117
12	62	4745
13	62	4427
14	63	4149
15	63	3908
16	63	3697
17	64	3506
18	64	3337
19	64	3183
20	65	3044
21	65	2919
22	66	2804
23	66	2698
24	66	2602
25	67	2513
26	67	2429
27	67	2352
28	68	2281
29	68	2213
30	68	2154
31	69	2095
32	69	2039
33	69	1986
34	70	1936
35	70	1890
36	70	1845
37	71	1803
38	71	1764
39	71	1727
40	72	1690
41	72	1655
42	73	1624
43	73	1593
44	73	1562
45	73	1534
46	74	1506
47	74	1480
48	74	1454
49	75	1430
50	75	1407
51	76	1385
52	76	1364
53	76	1343
54	77	1323
55	77	1305
56	77	1287
57	78	1269
58	78	1251
59	78	1234
60	79	1218
61	79	1202
62	79	1186
63	80	1171
64	80	1157
65	80	1143
66	81	1130
67	81	1117
68	81	1104
69	82	1092
70	82	1079
71	82	1068
72	83	1056
73	83	1045
74	83	1035
75	84	1024
76	84	1014
77	84	1003
78	85	994
79	85	984
80	85	975
81	86	965
82	86	954
83	86	945
84	87	936
85	87	928
86	87	920
87	88	912
88	88	904
89	88	897
90	89	889
91	89	882
92	89	875
93	90	868
94	90	861
95	90	854
96	91	847
97	91	841
98	91	835
99	92	829
100	92	823
101	92	817
102	93	811
103	93	805
104	93	799
105	94	793
106	94	788
107	94	782
108	95	776
109	95	771
110	95	766
111	96	761
112	96	756
113	96	751
114	96	746
115	97	741
116	97	736
117	97	731
118	98	727
119	98	723
120	99	719
121	99	714
122	99	710
123	99	706
124	100	701
125	100	698
126	100	693
127	101	689
128	101	686
129	101	682
130	102	678
131	102	674
132	102	670
133	103	666
134	103	663
135	103	659
136	104	656
137	104	652
138	104	648
139	105	645
140	105	642
141	105	638
142	105	635
143	106	631
144	106	628
145	106	625
146	107	622
147	107	619
148	107	616
149	108	613
150	108	610
151	109	608
152	109	605
153	109	602
154	109	599
155	110	596
156	110	593
157	110	591
158	111	588
159	111	585
160	111	582
161	112	579
162	112	577
163	112	575
164	113	572
165	113	570
166	113	567
167	114	565
168	114	563
169	114	560
170	115	558
171	115	556
172	115	554
173	116	555
174	117	552
175	117	550
176	117	548
177	118	545
178	118	543
179	118	541
180	119	539
181	119	537
182	119	535
183	120	533
184	120	530
185	120	529
186	121	526
187	121	525
188	121	523
189	122	521
190	122	519
191	123	517
192	123	515
193	123	514
194	124	512
195	124	510
196	124	508
197	125	506
198	125	504
199	125	503
200	126	501
201	126	499
202	126	497
203	127	495
204	127	494
205	127	492
206	128	491
207	128	489
208	128	487
209	129	485
210	129	484
211	129	482
212	130	481
213	130	479
214	130	478
215	131	476
216	131	474
217	131	473
218	132	471
219	132	470
220	132	468
221	133	467
222	133	465
223	133	464
224	134	462
225	134	460
226	134	459
227	135	458
228	135	456
229	135	454
230	136	453
231	136	451
232	136	450
233	137	449
234	137	447
235	137	446
236	138	444
237	138	443
238	138	442
239	139	440
240	139	439
241	139	437
242	140	436
243	140	435
244	140	433
245	141	432
246	141	431
247	141	429
248	142	428
249	142	427
250	142	426
251	143	424
252	143	423
253	143	422
254	144	420
255	144	419
256	144	418
257	145	417
258	145	416
259	145	415
260	146	413
261	146	412
262	146	411
263	147	410
264	147	409
265	147	408
266	148	406
267	148	405
268	148	404
269	149	403
270	149	402
271	149	400
272	150	399
273	150	398
274	150	397
275	150	396
276	151	395
277	151	393
278	152	392
279	152	391
280	152	390
281	153	389
282	153	388
283	153	387
284	154	386
285	154	385
286	154	384
287	155	383
288	155	382
289	155	381
290	156	380
291	156	379
292	156	378
293	157	377
294	157	376
295	157	375
296	158	374
297	158	373
298	158	372
299	159	371
300	159	370
301	159	369
302	160	368
303	160	367
304	160	366
305	161	365
306	161	364
307	161	363
308	162	362
309	162	361
310	162	360
311	163	359
312	163	358
313	163	357
314	164	356
315	164	355
316	164	355
317	165	354
318	165	353
319	165	352
320	166	351
321	166	350
322	166	349
323	167	348
324	167	347
325	167	347
326	168	346
327	168	345
328	168	344
329	169	343
330	169	342
331	169	341
332	170	340
333	170	339
334	170	338
335	171	337
336	171	337
337	171	336
338	171	335
339	172	334
340	172	333
341	172	332
342	173	331
343	173	330
344	173	330
345	174	329
346	174	328
347	174	327
348	175	326
349	175	326
350	175	325
351	176	324
352	176	323
353	176	322
354	177	322
355	177	321
356	177	320
357	178	319
358	178	318
359	178	317
360	179	317
361	179	316
362	179	315
363	180	314
364	180	313
365	180	313
366	181	312
367	181	311
368	181	310
369	181	309
370	182	309
371	182	308
372	182	307
373	183	306
374	183	306
375	183	305
376	184	304
377	184	303
378	184	303
379	185	302
380	185	301
381	185	300
382	186	300
383	186	299
384	186	298
385	187	297
386	187	297
387	187	296
388	188	295
389	188	294
390	188	294
391	189	293
392	189	292
393	189	292
394	190	291
395	190	290
396	190	290
397	191	289
398	191	288
399	191	287
400	192	287
401	192	286
402	192	285
403	193	284
404	193	284
405	193	283
406	194	282
407	194	281
408	194	281
409	194	280
410	195	279
411	195	279
412	195	278
413	196	277
414	196	277
415	196	276
416	197	275
417	197	275
418	197	274
419	198	273
420	198	273
421	198	272
422	199	271
423	199	271
424	199	270
425	200	269
426	200	269
427	200	268
428	201	267
429	201	267
430	201	266
431	202	265
432	202	265
433	202	264
434	203	263
435	203	263
436	203	262
437	204	261
438	204	261
439	204	260
440	205	260
441	205	259
442	205	258
443	206	258
444	206	257
445	206	257
446	207	256
447	207	255
448	207	255
449	208	254
450	208	253
451	208	253
452	209	252
453	209	252
454	209	251
455	210	250
456	210	250
457	210	249
458	211	249
459	211	248
460	211	247
461	212	247
462	212	246
463	212	245
464	213	245
465	213	244
466	213	244
467	214	243
468	214	242
469	214	242
470	215	241
471	215	241
472	215	240
473	216	239
474	216	239
475	216	238
476	217	238
477	217	237
478	217	236
479	218	236
480	218	235
481	218	235
482	219	234
483	219	233
484	219	233
485	220	232
486	220	232
487	220	231
488	221	231
489	221	230
490	221	229
491	222	229
492	222	228
493	222	228
494	223	227
495	223	227
496	223	226
497	224	226
498	224	225
499	224	224
500	225	224
501	225	223
502	225	223
503	226	222
504	226	221
505	226	221
506	227	220
507	227	220
508	227	219
509	228	219
510	228	218
511	228	218
512	229	217
513	229	216
514	229	216
515	230	215
516	230	215
517	230	214
518	231	214
519	231	213
520	231	213
521	232	212
522	232	212
523	232	211
524	233	210
525	233	210
526	233	209
527	234	209
528	234	208
529	234	208
530	235	207
531	235	207
532	235	206
533	236	206
534	236	205
535	236	204
536	237	204
537	237	203
538	237	203
539	238	202
540	238	202
541	238	201
542	238	201
543	239	200
544	239	200
545	239	199
546	240	199
547	240	198
548	240	197
549	241	197
550	241	196
551	242	196
552	242	195
553	242	195
554	243	194
555	243	194
556	243	193
557	244	193
558	244	192
559	244	192
560	245	191
561	245	191
562	245	190
563	246	190
564	246	189
565	246	189
566	247	188
567	247	188
568	247	187
569	248	187
570	248	186
571	248	186
572	248	185
573	249	185
574	249	184
575	250	184
576	250	183
577	250	183
578	251	182
579	251	181
580	251	181
581	252	181
582	252	180
583	252	180
584	253	179
585	253	179
586	253	178
587	254	178
588	254	177
589	254	177
590	255	176
591	255	176
592	255	175
593	256	175
594	256	174
595	256	174
596	257	173
597	257	173
598	257	172
599	258	172
600	258	171
601	258	171
602	259	170
603	259	170
604	259	169
605	259	169
606	260	168
607	260	168
608	260	167
609	261	167
610	261	166
611	261	166
612	262	165
613	262	165
614	262	164
615	263	164
616	263	163
617	263	163
618	264	162
619	264	162
620	264	161
621	265	161
622	265	160
623	265	160
624	266	159
625	266	159
626	266	158
627	267	158
628	267	157
629	267	157
630	268	156
631	268	156
632	268	155
633	269	155
634	269	155
635	270	154
636	270	154
637	270	153
638	270	153
639	271	152
640	271	152
641	271	151
642	272	151
643	272	150
644	272	150
645	273	149
646	273	149
647	273	148
648	274	148
649	274	147
650	274	147
651	275	146
652	275	146
653	275	146
654	276	145
655	276	145
656	277	144
657	277	144
658	277	143
659	278	143
660	278	142
661	278	142
662	279	141
663	279	141
664	279	140
665	280	140
666	280	139
667	280	139
668	281	139
669	281	138
670	281	138
671	282	137
672	282	137
673	282	136
674	283	136
675	283	135
676	283	135
677	284	134
678	284	134
679	284	134
680	285	133
681	285	133
682	285	132
683	286	132
684	286	131
685	286	131
686	287	130
687	287	130
688	287	129
689	288	129
690	288	128
691	288	128
692	289	128
693	289	127
694	289	127
695	290	126
696	290	126
697	290	125
698	291	125
699	291	124
700	291	124
701	292	123
702	292	123
703	292	123
704	293	122
705	293	122
706	293	121
707	294	121
708	294	120
709	294	120
710	295	119
711	295	119
712	295	119
713	295	118
714	296	118
715	296	117
716	297	117
717	297	116
718	298	116
719	298	116
720	298	115
721	299	115
722	299	114
723	299	114
724	300	113
725	300	113
726	300	112
727	301	112
728	301	112
729	301	111
730	301	111
731	302	110
732	302	110
733	302	109
734	303	109
735	303	108
736	303	108
737	304	107
738	304	107
739	304	107
740	305	106
741	305	106
742	305	105
743	306	105
744	306	104
745	306	104
746	307	104
747	307	103
748	307	103
749	308	102
750	308	102
751	308	101
752	309	101
753	309	100
754	309	100
755	310	100
756	310	99
757	310	99
758	311	98
759	311	98
760	311	97
761	312	97
762	312	97
763	312	96
764	313	96
765	313	95
766	313	95
767	314	94
768	314	94
769	314	94
770	315	93
771	315	93
772	315	92
773	316	92
774	316	91
775	316	91
776	317	91
777	317	90
778	317	90
779	318	89
780	318	89
781	318	88
782	318	88
783	319	87
784	319	87
785	319	87
786	320	86
787	320	86
788	320	85
789	321	85
790	321	84
791	321	84
792	322	84
793	322	83
794	323	83
795	323	82
796	323	82
797	324	82
798	324	81
799	324	81
800	325	80
801	325	80
802	325	79
803	326	79
804	326	79
805	326	78
806	327	78
807	327	77
808	327	77
809	328	76
810	328	76
811	328	76
812	329	75
813	329	75
814	329	74
815	330	74
816	330	74
817	330	73
818	331	73
819	331	72
820	331	72
821	332	71
822	332	71
823	332	71
824	333	70
